old_text,score,text
bhadva tujme dimaag,2,pimp tujme dimaag
alfaz kadva,0,alfaz kadva
guts balls loud mouth creater stories fake cds,0,guts balls loud mouth creater stories fake cds
michael oliver mkc bhen lode gandu sala chutmarika bhadva,2,michael oliver mkc bhen lode faggot god-damn/god-damned/goddam chutmarika pimp
muslimo gand hindu marenge harami owaisi jimmdar,1,muslimo ass hindu marenge bastard owaisi jimmdar
mindset issue congress induct leader sangeeta chandpa recently,0,mindset issue congress induct leader sangeeta chandpa recently
bhadva jantha party appreciating person brutally killed poor citizen,2,pimp jantha jamboree appreciating person brutally killed poor citizen
bhadva mar sale,2,pimp mar sucker
bhadva ladkiyo dhamkata gake bnata pat,2,pimp ladkiyo dhamkata gake bnata pat
manishankaraiyar sala bhadva gujarati gali deta chutiya,2,manishankaraiyar god-damn/god-damned/goddam pimp gujarati passage deta fucker
bhosdika bhadva suar gaand mukh,2,bhosdika pimp pig ass opening
loda madarchod pikina bhadva,2,dick motherfucker pikina pimp
shows rahulbaba visiting temples temples kumar ketkar problem show,0,shows rahulbaba visiting temples temples kumar ketkar problem show
bhadva,2,pimp
bhadva,2,pimp
fellow tiwari part loot,0,fellow tiwari direction loot
modi gali dene walo aab jake chala hardik aek bhadva,2,modi passage dene walo yet jake chala hardik aek pimp
alfaz mer,0,alfaz mer
sala bhadva chutiya gujarati gali deta sorry yar hindi poor,2,god-damn/god-damned/goddam pimp fucker gujarati passage deta sorry sport hindi poor
kanoon badnaam bhadva bakchodi sunni board wakeel rep,2,legislation notorious pimp fuck sunni board wakeel rep
kaye gaali usko chodthe allah musalmano,1,kaye dirty word usko chodthe Allah muslim
manishankaraiyar sala bhadva gujarati gali deta chutiya,2,manishankaraiyar god-damn/god-damned/goddam pimp gujarati passage deta fucker
dallo bhadva desh sanman,2,dallo pimp state sanman
khujli bhikhari tatte jhantu reporter liar jhantu aadmi party news rndtv chhodkr,2,khujli panhandler testicles pubic reporter liar pubic cuss jamboree news rndtv chhodkr
sorry gali likh hindi poor bhadva chutiya aulad gujarati gali deta,2,sorry passage likh hindi poor pimp fucker son gujarati passage deta
parwah,0,thoughtfulness
bhadva jnta party bjp sale kutto,2,pimp jnta jamboree bjp sucker dog
congress bhadve hay zakir bhadva hay dhede bhegiye saf hay chunav ladke,2,congress bhadve hay zakir pimp hay dhede bhegiye saf hay election ladke
dogle sher bhadva paida hindutva party modi virodh,2,dogle lion pimp born hindutva jamboree modi virodh
sarkar study congress feke huve tukde mujra bhadva kanaya,2,government study congress feke huve tukde mujra pimp kanaya
neem,0,neem
ugliest hole chutye marja bap guma tuje peda bhadva,2,ugliest hole pussy marja father guma you peda pimp
modi bhadva whats maha chu,2,modi pimp whats maha chu
bhadva,2,pimp
neem patta kadva mourinho saala bhadva satan lost celebrate,2,neem patta kadva mourinho sucker pimp Satan lost celebrate
bhadva kejriwal pig tatti khane aaprtars uski kkame,2,pimp kejriwal pig shit khane aaprtars hers kkame
bhotnike baap bhootnika maa bhootnike khandan bhootnika,2,bhotnike father son of a witch mother bhootnike family son of a witch
hahaha bhag bhootnika,2,hahaha zone son of a witch
muh khol chinaal,2,muh shell prostitute
muh khol chinaal,2,muh shell prostitute
hate bighest chinaal time,2,hate bighest prostitute time
oohh randi kuttiyaa sallii hraamkhorr chinaal,2,oohh hooker kuttiyaa sallii hraamkhorr prostitute
saali chinaal chut maari randii kutti lund zoro randii,2,sister-in-law prostitute pussy maari hooker bitch  dick zoro hooker
kissi chinaal chut,0,who prostitute pussy
mulle kale lund diwani mummy mulle maa chod chod chinaal bna,1,muslim kale  dick diwani mummy muslim mother fuck fuck prostitute bna
kehe gaand dum beech bolega joota sir maa chodke,2,kehe ass tail midway bolega joota sir mother fuck
randi zara khan randi,2,hooker zara workings hooker
randi sali chinaal,2,hooker bitch prostitute
chinaal chodi pane bkl,2,prostitute chodi pane sister dick
randi pille maa behen kothe bech,2,hooker pille mother sister kothe bech
sant rampalji maharaj anmool vachan dekiye shadna chinaal,2,St rampalji sire anmool plight dekiye shadna prostitute
ayesha fatima rss office chinaal,2,ayesha fatima rss office prostitute
oohh kuttiyaa sali hraamzaddi randi kamini chinaal,2,oohh kuttiyaa bitch hraamzaddi hooker kamini prostitute
chinaal italy bhejo,2,prostitute Italy bhejo
chinaal behan lund latka gaand chodugaa uchaal uchaal,2,prostitute sister  dick latka ass chodugaa uchaal uchaal
randi maa mast chudwaa raat jaake paida huva mer,2,hooker mother rollicking fuck night jaake born lnk mer
randi patni chinaal ker chod rahen dost imr pheche chodra,2,hooker old lady prostitute ker fuck rahen playfellow imr pheche fucker
dekiye sant rampalji maharaj anmool vachan shadna chinaal,2,dekiye St rampalji sire anmool plight shadna prostitute
logo maa chut seal toda,2,logo mother pussy seal toda
chinaal merchant apply burnol,2,prostitute merchant apply burnol
randi patni office black colleague lund chusne chinaal,2,hooker old lady office black colleague  dick chusne prostitute
fake account chinaal,2,fake account prostitute
aaja randi ladke papa fadda block ter,2,aaja hooker ladke papa fadda block ter
randi patni jesse chudati uski essa feeling deti jesse uski rakhel cousin,2,hooker old lady jesse fucking hers essa feeling deti jesse hers rakhel cousin
bandar gaand dikhta madarchod red,2,bandar ass dikhta motherfucker scarlet
gaand chategi raand chinaal saali bhen lodi,2,ass chategi whore prostitute sister-in-law bhen dick
sikh lungi chinaal maa rand,2,sikh lungi prostitute mother whore
chadhugaa raand betichod aulaad saali aahh mast chut chinaal,2,chadhugaa whore daughter fucker aulaad sister-in-law aahh rollicking pussy prostitute
randi chinaal gandi gaali aurat,2,hooker prostitute filthy dirty word adult female
chinaal usko wahich bolenge baap bhadwa usko wahich bolenge nup,2,prostitute usko wahich bolenge father bhadwa usko wahich bolenge nup
randi patni chinaal ker chod rahen dost imr pheche cho,2,hooker old lady prostitute ker fuck rahen playfellow imr pheche cho
abey randi pille maa chut kutte lawra daa,2,abey hooker pille mother pussy dog lawra daa
bhosode airtel behnchod offer dikhata gaand chutiya ulimited tatti,2,bhosode airtel sister fucker offer dikhata ass fucker ulimited shit
maa bhosda ban jaaye dhyaan rakhiyo chinaal,2,mother pussy ban jaaye advertency rakhiyo prostitute
bohsdi chinaal bhadwe baap ladwa deta beech gutter critic mayeove,2,bohsdi prostitute pimp father ladwa deta midway gutter critic mayeove
chinaal bachhe,2,prostitute children
rape randi chinaal marr kutiya amp word neech troubling,2,rape hooker prostitute marr bitch amp plight low caste troubling
beej chuss chuss nikaal,2,semen chuss chuss nikaal
mene jazbaat bheje tumne alfaz samjhe piyush mishra gazab talent baaki baat por,0,mene jazbaat bheje tumne alfaz samjhe piyush composite gazab talent baaki words por
rape randi chinaal marr kutiya amp wor,2,rape hooker prostitute marr bitch amp wor
khubsurat randi dusray piyaar kartay huwa sali chinaal lund shuhagan,2,merry hooker dusray piyaar kartay huwa bitch prostitute  dick shuhagan
taqid dost randi patni kuttiya ker pheche chod uski,2,taqid playfellow hooker old lady bitch ker pheche fuck hers
chinaal khichdi tasty veg,2,prostitute khichdi tasty violence
rape randi chinaal marr kutiya amp word neech,2,rape hooker prostitute marr bitch amp plight low caste
saali lund khao chinaal hehe,2,sister-in-law  dick khao prostitute hehe
raand kese kake lund uchal bhen lodi ghasti chinaal,2,whore kese kake  dick uchal bhen dick hooker prostitute
taqid randiwife chod tabhi uski chinaal patni hamna aagai phi,2,taqid randiwife fuck tabhi hers prostitute old lady hamna aagai phi
chinaal raandi ruka,2,prostitute hooker ruka
chinaal senior citizens killed due demonetisation,2,prostitute senior citizens killed due demonetisation
rape randi chinaal mar,2,rape hooker prostitute mar
randi patni porn dekhte huwe intezar meine dost taqid,2,hooker old lady porn dekhte huwe intezar meine playfellow taqid
chinaal ruk choot marani raand,2,prostitute ruk pussy marani whore
sant rampalji maharaj anmool vachan dekiye shadna chinaal,2,St rampalji sire anmool plight dekiye shadna prostitute
sant rampalji maharaj anmool vachan dekiye shadna chinaal,2,St rampalji sire anmool plight dekiye shadna prostitute
raand saali chinaal,2,whore sister-in-law prostitute
randi patni porn dekhte huwe intezar meine dost taqid bheja,2,hooker old lady porn dekhte huwe intezar meine playfellow taqid brain
chinaal peeche chorh,2,prostitute aback chorh
salgay fans calling randi chinaal wedding day dhobi fans trolling yuvi birthday type madarchod,2,salgay fans calling hooker prostitute wedding day dhobi fans trolling yuvi birthday type motherfucker
maa saali chinaal lund chodti pyaar jaata,2,mother sister-in-law prostitute  dick chodti love jaata
lund bhuki saali chinaal kuttiya peshaab pine tayaar,2, dick bhuki sister-in-law prostitute bitch peshaab pen ready
rape randi chinaal marr kutiya amp,2,rape hooker prostitute marr bitch amp
khaaja bhenchod saali chinaal aahh chussti mast tuu,2,khaaja sister fucker sister-in-law prostitute aahh chussti rollicking tuu
abey lund tope chinaal aulad behn chut hathi,2,abey  dick basinet prostitute son behn pussy hathi
incapable maintain time change train timing chutiyas making chutia,2,incapable maintain time change train timing fucker making fucker 
drama public chutia banane,2,drama public fucker  banane
air baat sabit tumlog pakistan public chutia banana band haramkhor,2,current of air words sabit tumlog Pakistan public fucker  turn tier haramkhor
chutes chutia,2,chutes fucker 
chutia,2,fucker 
chutia rehega,2,fucker  rehega
behan siri angraizon kai kuttai terai aaqa aor gandi aolad,2,sister siri angraizon umpteen bitch terai aaqa aor filthy aolad
abey chutia auraat paisa boht rkhta spirituality dhong bha,2,abey fucker  auraat money boht rkhta spirituality pretense bha
sambit patra gobar khake aedhe rah modi desh bab chutia sambit pat,2,sambit ticket gobar khake aedhe rah modi state bab fucker  sambit pat
nice,0,nice
congresspresidentrahulgandhi hahahah hogya hafeez syeed beta atankwadi banega,0,congresspresidentrahulgandhi hahahah hogya hafeez syeed son terrorist banega
madharchod chutiya issh tellychakkar unfollow kro yar faltu news post krta chutia,2,mother fucker fucker issh tellychakkar unfollow kro sport faltu news post krta fucker 
wait dec pappu flop chutia rahul gandhi,2,wait dec pappu flop fucker  rahul filthy
matter newpaper talking find chutia mantri chutiyapa,2,matter newpaper talking find fucker  minister fuck all
dangu chahta isko reply sale unfollow chutia,2,dangu chahta him reply sucker unfollow fucker 
hina expressions chutia chup aukaat minutes,2,hina expressions fucker  shut up aukaat minutes
google krka books dhoondho chutia hogia,2,google krka books dhoondho fucker  hogia
tharki budda rawish rahay samjha shyd sirf zuban chutia,2,tharki budda rawish rahay samjha shyd sirf zuban fucker 
congrss chutia pass jabab inlogo chutiyagiri siba,2,congrss fucker  adjacent jabab inlogo chutiyagiri siba
chutia colloquially quoting manish tewari diggy raja word suitable guy wonder pap,2,fucker  colloquially quoting manish tewari diggy king plight suitable guy wonder pap
awaam chutia gae shadi,2,awaam fucker  gae marriage
agr chutia modi,2,agr fucker  modi
vikas chutia,2,unfolding fucker 
chutia hahahahahaaha,2,fucker  hahahahahaaha
chutia stooges,2,fucker  stooges
chutia sikh marathi shilpa piche pad jaate maa chhoda,2,fucker  sikh marathi shilpa aback title jaate mother chhoda
chutia,2,fucker 
chutia ias,2,fucker  ias
reech neech desh chutia kaat raah,2,reech low caste state fucker  cut road
chutia frog rehega,2,fucker  frog rehega
india deta leni usy atii chutia,2,india deta leni usy atii fucker 
chutia school gya baccho pda murkh,2,fucker  school gya baccho pda murkh
aby chutia,2,aby fucker 
sambit patra gobar khake aedhe rah modi desh,2,sambit ticket gobar khake aedhe rah modi state
vikas chutia,2,unfolding fucker 
chutia ldki,2,fucker  ldki
chutia,2,fucker 
chutia spokies pimps worst pig debating media dera secret meating gaddar peem amp,2,fucker  spokies pimps worst pig debating media abode secret meating ratter peem amp
chutia leader anchor desh lootne,2,fucker  leader anchor state lootne
ache din chutia sardar found tounge traitors shot dead,2,ache daytime fucker  captain found tounge traitors shot dead
chutia year award mukul singh,2,fucker  year award mukul singh
modi dusman pakistan kewal election public chutia banana badd dost,2,modi enemy Pakistan simply election public fucker  turn badd playfellow
chutia comunist srcular logo samajh ayega,2,fucker  comunist srcular logo wit ayega
chutia public blamed,2,fucker  public blamed
nawaj sarif kay tumahare modi giga lagate sadi chale chutia,2,nawaj sarif K tumahare modi giga lagate stinking chale fucker 
chutia,2,fucker 
member chutia brigade forgot sikh massacre,2,member fucker  brigade forgot sikh massacre
sarim chutia barbaad,2,sarim fucker  sunk
chutia spotted,2,fucker  spotted
chutia colloquially quoting manish tewari diggy raja word suitable guy wonder pappu finds,2,fucker  colloquially quoting manish tewari diggy king plight suitable guy wonder pappu finds
congress told meeting pak china authority meeti,0,congress told meeting pak china authority meeti
chutia,2,fucker 
congrss chutia pass jabab inlogo chutiyagiri siba,2,congrss fucker  adjacent jabab inlogo chutiyagiri siba
long modisarkar bear chutia bjp yashwantsinha defends shankar aiyar calls pakistan conspiracy allegation absurd,2,long modisarkar bear fucker  bjp yashwantsinha defends shankar aiyar calls Pakistan conspiracy allegation absurd
tax chori govt din chutia raste chor papu brigade,2,tax chori govt daytime fucker  raste sneak papu brigade
chutia empty vote delhi feel ashamed,2,fucker  empty vote delhi feel ashamed
apki debates apse bada chutia ajtak,2,apki debates apse bada fucker  ajtak
oho chutia,2,oho fucker 
chutia amp,2,fucker  amp
chutia,2,fucker 
gya chutia,2,gya fucker 
chutia bna gya qaum,2,fucker  bna gya qaum
sirji badi chutia picture banaane bada waisey,2,sirji badi fucker  picture banaane bada waisey
sun chutia chutia chilla sari duniya chut,2,sun fucker  fucker  chilla sari duniya pussy
chutia,2,fucker 
chutia raghu,2,fucker  raghu
chatur means clever chutia means stupid,2,shrewd means clever fucker  means stupid
awaam chutia gae shadi,2,awaam fucker  gae marriage
chup chutia,2,shut up fucker 
chutia asked question mother shindi front iit protection,2,fucker  asked question old lady shindi front iit protection
kanhaiyakumar padh sun chutia ready debate wid terese jyaa,2,kanhaiyakumar title sun fucker  ready debate wid terese jyaa
road pada randi beto ghasti londo,2,road pada hooker beto hooker londo
hahahahah gay tatte spider man banke building latka lun,2,hahahahah gay testicles spider nous banke building latka lun
omg bigolive,0,omg bigolive
omg bigolive,0,omg bigolive
kia ghasti aurto trhn dosrou tweets mazy lay lun sir,2,kia hooker aurto trhn dosrou tweets mazy air lun sir
taryi ghasti behen chodon sarya padal haj houya hyan tarya barya mea batatya hya,2,taryi hooker sister chodon sarya padal haj houya hyan tarya barya mea batatya hya
aajaa bhen lodi ghasti raand teraa muhh chodne mazza aayga,2,aajaa bhen dick hooker whore teraa muhh fuck mazza aayga
car masti ban ghasti,2,wheel merrymaking ban hooker
behan lodi ghasti choda sali gaand marane sauk,2,sister dick hooker fucker bitch ass marane sauk
ishatehari ghasti allowed travel pakistan,2,ishatehari hooker allowed travel Pakistan
ghasti sikha deti,2,hooker sikha deti
abay ghasti lun tawaif khandan maa bhaijday mufta milayga,2,abay hooker lun tawaif family mother bhaijday mufta milayga
dheele lund paidaishh hina jitegi ghasti shilpa,2,dheele  dick paidaishh hina jitegi hooker shilpa
taryi behen phudi kutti olad behen lorya mna seat sakhtya aour coror,2,taryi sister pussy bitch olad sister lorya mna seat sakhtya aour coror
