score,text
2.0,Madarchod fawad ko toh try ball khelaya gya tha. Usey hi tum log first inning samjh liye. Grow up morons. Bhabhi se\xe2\x80\xa6 https://t.co/nTLmvxswmM
2.0,"@yuva_raj3091 @Ranidreams @ROMI13343316 Ye bahenchod, achhe khase Lund ko bekar karenge... itna bada risk le rahe hain..."
2.0,RT @is_enticing: kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.
2.0,RT @lil_unsteady: Ladke wale: kya karti hai aapki beti?\nLadki k papa: Twitter par logo ko bahenchod bolkar gender equality me apna yogdan d\xe2\x80\xa6
2.0,kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.
2.0,RT @AditShinde2: @BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa
0.0,RT @dilwala_SRK: @ISrkfanOnly @SRKsRider @SRKswarrior1 @being_tiger_ HNY k time pe 15000 kamaya tha maine..is baar payment nahi de rahe hai\xe2\x80\xa6
2.0,@BiggBossNewz Ache Se Dekh Le Bahenchod https://t.co/1Smek5Fcl4
2.0,MADARCHOD LOG \n\nBAHENCHOD LOG\n\nRAT KO MOTORBIKE ME SE PETROL \nCHURANE WALE LOG
2.0,@airtelindia bahenchod..\n Why getting lots of ad in your Wynk music app. Pure mood ki maa behen kr dete h ...
2.0,"@Robin_GoodX they don\'t know there is a word called ""BahenChod"""
2.0,@Bas1King \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c Acha reply diya ladkiya khe rahi Bahenchod jab itna normal hai to maal khe diya to kya galat Maal h\xe2\x80\xa6 https://t.co/6xbWS1cIlU
2.0,@justinlouisbrad @beersbiebs Bahenchod. Aaukad mein rah.
2.0,"RT @Bakchod_Choro: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
2.0,"@KenRoth U idiot, what d fuck ur fucking human rights watch z watching in Baluchistan? U motherfuckers shd close ur\xe2\x80\xa6 https://t.co/usrCp7pEat"
2.0,Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING
2.0,@AvijitEmmi Bahenchod .... experienced lagte ho bhai bhot\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82
2.0,@behenchodabhay @sarita_beta @parvatikhan2 @shikhaask5 Bahenchod sale bra nahi mangege tere bahen ki chuchi masal k\xe2\x80\xa6 https://t.co/iQB05N44Qd
2.0,Or koi gaali bhi nahi dega bahenchod\xf0\x9f\x98\x82 https://t.co/Zr3wbRywm3
2.0,@Mehreenansari95 @ColorsTV @JJROCKXX @eyehinakhan Yeh Dekho Bahenchod Ko Fake Id Chala Raha Hai
0.0,RT @is_enticing: chalo acha h tumhare dost tumhare birthday ka countdown kar rahe h.\nbut iska mtlb yeh thodi h ki uska ss le k tum story da\xe2\x80\xa6
2.0,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe2\x80\xa6 https://t.co/n2PLeOgW0v
2.0,RT @mdawaisi92: Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING
2.0,@vishalIncest Bahenchod sale bra nahi mangege tere bahen ki chuchi masal kar sAli ko ghutno par bithuga n kutiya ba\xe2\x80\xa6 https://t.co/l77siKqVIk
2.0,@deep_tejani @BiggBossCritic1 Are Bhai Apne Bahen Ka Nhi Banaya Kya Uska Bhi Bana Ke Dalna Tha Na Bahenchod Naale Me Paida Hua Kya
2.0,"Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
2.0,@BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa
2.0,"RT @The_Sonu_Gujjar: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
2.0,"Bahenchod this is the saddest thing, girl ready to do anything to help a guy sleep \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 https://t.co/3rd25Wf7QS"
2.0,@OfficeOfRG Bahenchod 65 saal TK apni maa chudwa rahe the tum log
2.0,"@OfficeOfRG maadarchod tu dusaro ko chhod, tujhe gandhi family ka aisho-aaram mil raha hai. bahenchod dusaro ki fik\xe2\x80\xa6 https://t.co/JGPOSYKJXl"
2.0,@DrGPradhan Bahenchod laal chaddi goons
0.0,Badir just announced their funding statistics for their emerging startups in Saudi Arabia\nhttps://t.co/si2Cq9KVcx\n#Startup #News #Tech
2.0,"@attorneybharti @ArvindKejriwal Saala Bhadva Chandi ke Mukut dene waley ki shaadi me hi jata hai,isliye log ko pata\xe2\x80\xa6 https://t.co/0XyCk8onXP"
2.0,@rohanrgupta bhadve @TodaysChanakya ne teri bhadva giri sabko bata di #Shame
2.0,RT @BehalPushkar: @TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82
2.0,RT @APSodha1: @SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto
2.0,Lukachut bhadva
2.0,@girirajsinghbjp Aese bhadva logo ko mind Me nahi leneka ae Pakistan jake sarkar girane ko bolta tha ae dalal he
2.0,@ashish_tiwtter AAmir Khan the great Bhadva immediately started speaking when Jihadi Zaira got touched. But he never speaks for Hindus.
2.0,@shaileshkap @HimanshiKunwar1 @jigneshmevani80 tu up bihar ka bhadva hoga jise gujarati me kadva kehete he ab to sa\xe2\x80\xa6 https://t.co/drD3fgfI2Y
2.0,@ZahirAdvocate @Anmol_77 Pakistan bhadva hai
2.0,@ChooseGudPerson @amitkumar13557 @Brijesh88220727 @AAP_Germany bhadvas started to Bark. AAP the great bhadva party.
2.0,@KaziArshadHusai Haa tu Rahul  ka ghu khata hai \nPata hai sab ko \nGandi nali ka kida bhadva
2.0,@BiggBoss  kickout Arshi chhinal and vikas bhadva
2.0,@IndiaToday @cheteshwar1 Large number mein ayengey to BJP ko vote karengey aur is se @sardesairajdeep ki Gaand nahi\xe2\x80\xa6 https://t.co/ae3jCvT80n
2.0,@patel_ronik @OfficeOfRG Hindi nai aati to ma ch***vane aaya he politics me... sala bhadva .. samjate pappu tere perie ko
2.0,@ShakeelSabhasad @News18India Aur Chatne wale ko kutta chatukar...\nBhakt hai to sahi kam se kam dalal bhadva kutta\xe2\x80\xa6 https://t.co/QwYcYMKho9
2.0,@laluprasadrjd Aur wo Bhadva hai Lalu Prasad \nSaala.ko thappad maar ke theek karo
0.0,@DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from\xe2\x80\xa6 https://t.co/WLkkxdrihT
2.0,@OfficeOfRG To for 60 sal tak kya Kiya? Jo ab bevakuf banane nikala hai murkh bhadva
2.0,@News18India @sambitswaraj abe bhadva kanhiya kutte gaddar sale pakistani kutta dalla
2.0,"@SabooVikas @PMOIndia @narendramodi A re MANIA TUH  NICH HAI ,MODISAHAB KO LAKER TERI GAAND MAIN JALAN HO RAHI HAI\xe2\x80\xa6 https://t.co/rl9PWU2Pbl"
2.0,@BJP4India @narendramodi Kapil Sibbal ko Border pe Ulta Latka k itne CHHED kare ki Uski Randi-Maa  b pehchan na sak\xe2\x80\xa6 https://t.co/y2nlVEpA98
2.0,@ManiAyeSir  sorry agar me kuch gali likh du to kyuki Mera Hindi thoda poor he..bhadva chutiya Gujarati o ko gali deta he
2.0,@HardikPatel_ bhadva.. havaskhor 18 dec k baad tu gujrat me dikh nhi payega dekh lena kahi muh chupa k pada hoga bhadva harpik havsakhor
2.0,@EconomicTimes Bhadva ! M S Aiyar
2.0,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....
2.0,Sorry Chakkichods I forgot to add Bhadva Owaisi. Count him too. :P
2.0,@HardikPatel_ bhadva
2.0,@Robins_patel07 @DesiStupides @smritiirani Aano Pan javab aapi de bhadva pavaya
2.0,Abe tu Dallal hai sale ........bhadva hai tu congress ka Gandu manishankar..
2.0,@htTweets Congress ka bhadva he tu... Madrchod
2.0,@TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82
2.0,@tehseenp Randi chodne wala bhadva aagaya
1.0,@AHIRE40 @Bhimdev101 @SquareGas @ChandreshT @ANI Aur yeh nikla paki bhadva hindu naam istamal karte hue.abey katve\xe2\x80\xa6 https://t.co/8loGd9E4I4
2.0,@laluprasadrjd Bhadva vo khali tu hay. Tihar KI tyari KAR. BAKI Sara India safe hay.tune life me ek hi KAM achha ki\xe2\x80\xa6 https://t.co/t8ayvWifoW
2.0,@majestic_bhara @sambitswaraj @republic Anurag bhadva rahul tera baap hai
2.0,@Ahmad_Shakeel Ye bhadva miljaye uski..maa chod du
2.0,#PMSupariAttack\nSach kadva hai manishanker Aiyyer pakistan ka bhadva hai\nSorry I don't know Hindi or any other language
2.0,@sardanarohit @aajtak Bhadva congress
2.0,@Sahil_Adhikaari Jhatu hai saala bhadva
2.0,@TimesNow @Shehzad_Ind @tehseenp Tu bhadva he bilkul tujme dimaag nhi
0.0,RT @HukkaKing1: @GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Alfaz hai mera kadva\xe2\x80\xa6
0.0,"@gadgil_rajesh He does not have guts in his balls. He is loud mouth. Creater of stories, fake cds and what not. He\xe2\x80\xa6 https://t.co/nnvRVLurp2"
2.0,Michael Oliver mkc teri bhen ke lode gandu sala chutmarika bhadva
1.0,@ZeeNews @RubikaLiyaquat Yes muslimo ki gand hindu jab marenge to ye harami owaisi hi uske liye jimmdar hoga...ya b\xe2\x80\xa6 https://t.co/1UWeez1S7X
0.0,@srirambjp @narendramodi It is the mindset issue. Congress wants to induct AAP leader Sangeeta Chandpa recently. Sh\xe2\x80\xa6 https://t.co/ScOE67XmEk
2.0,@asadowaisi This Bhadva jantha party is appreciating a person who brutally killed a poor citizen. \n\nhttps://t.co/IH9uM0D8Jf
2.0,"@KilaFateh @retheeshraj10 @TajinderBagga Abe ye tere Ko 'bhadva' bol Raha hai, mar sale Ko \xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9 @RoflGandhi_"
2.0,@gumnaamsa Ye bhadva ladkiyo ko dhamkata h gake ss bnata h jo isse pat nhi rhi h
2.0,#ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya
2.0,@ANI @INCIndia Aur @OfficeOfRG ka ek aur bhosdika Bhadva apna suar gaand mukh se bola.
2.0,@HardikPatel_ Loda madarchod pikina bhadva
0.0,"@ShekharGupta IF IT SHOWS RAHULBABA VISITING TEMPLES TO TEMPLES, KUMAR KETKAR HAS NO PROBLEM. BUT IS TV SHOW WHAT P\xe2\x80\xa6 https://t.co/X9QjGkQufD"
2.0,@malviyamit @Anirudh_SR He is such a Bhadva
2.0,@jyotyshekhawat1 Q ki ye bhadva h
0.0,RT @DhanyakumarBPa2: @DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from the\xe2\x80\xa6
2.0,@vikas_gujarat @KamalAg87404755 @HardikPatel_ Modi ko gali dene walo aab jake pata chala ki hardik aek bhadva he wo\xe2\x80\xa6 https://t.co/4PVWqq8kdT
0.0,@sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews\xe2\x80\xa6 https://t.co/xLrsCw5QeL
0.0,@GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Alfaz hai mer\xe2\x80\xa6 https://t.co/e2VfkEMXuM
2.0,@ManiAyeSir sala bhadva chutiya Gujarati o ko gali deta he... Sorry Yar Mera Hindi thoda poor he
2.0,@republic @KapilSibal @pbhushan1 Kanoon ka badnaam Bhadva kal bakchodi raha tha wo Sunni board ka wakeel nahin?\nRep\xe2\x80\xa6 https://t.co/gix44ZOPJd
1.0,"@Alikhansdaring @AdibaDare @Janbaazk707 @taslimanasreen kaye ko gaali de usko, chodthe Allah ke upar. ye musalmano\xe2\x80\xa6 https://t.co/dQCFcDG6aN"
0.0,RT @Irfan7867863: @sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews @RaajnathSing @neo\xe2\x80\xa6
2.0,RT @dinesh38: #ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya
2.0,@ZeeNews Kya Dallo ab ye bhadva desh ka sanman kar raha he??????
2.0,"@ArvindKejriwal Khujli bhikhari tatte, jhantu ka reporter, liar aur Jhantu aadmi party news, RNDTV ko chhodkr kabhi\xe2\x80\xa6 https://t.co/BwQyiIEzhd"
2.0,@ManiAyeSir  sorry agar me kuch gali likh du to...Mera Hindi thoda poor he...bhadva .. chutiya ki aulad Gujarati o ko gali deta he
0.0,@sonalichauhan1 @HukkaKing1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Koi nhi parwah\xe2\x80\xa6 https://t.co/qE3UZW2aiJ
2.0,@SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto
2.0,@jigneshmevani80 Vo sub congress ke bhadve hay. To ZAKIR KA bhadva hay Dhede Bhegiye T...saf karte hay CHUnav nahi ladke.
2.0,@abpnewshindi @narendramodi apna dekh na dogle \nsher ke ghar bhadva paida hua hai \nhindutva wali party Modi virodh\xe2\x80\xa6 https://t.co/NrKBWTYXag
2.0,@htTweets Sarkar ke Rs.  Study Karne Vala Aj congress ke kuch feke huve tukde pe mujra Karne Vala Bhadva he.... Kanaya
0.0,@GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Neem ka pata\xe2\x80\xa6 https://t.co/XvUa3uVyRz
2.0,"@ManiAyeSir you are the ugliest hole one can have. Chutye marja, tere bap ne guma kiya tuje peda karke. Bhadva kahin ka\xf0\x9f\x98\x82\xf0\x9f\x98\x82"
2.0,@Ritz12389 @hallagullaboy @ManojTiwariMP @ArvindKejriwal Modi n that UP wala bhadva MP whats his name that maha chu\xe2\x80\xa6 https://t.co/XMxxnhKVnH
2.0,@avinash_kadbe @jitupatwari Bhadva h ye
2.0,"Neem ka patta kadva hai,\nMourinho saala bhadva hai.\nSatan lost, we celebrate."
2.0,@v_vverma23 @being_delhite or vo bhadva kejriwal pig ki tatti khane wala? or aaprtars uski kkame wale...
2.0,@Nargisbano25n @DrRizwanAhmed1 Tu bhotnike\nTera baap bhootnika \nTeri maa bhootnike\nTera pura khandan bhootnika
2.0,@Iamshiyad @rakeysh_tweets @DilliDurAst Hahaha bhag gaya bhootnika.
2.0,RT @soitbedone: @SaniyaChatterje muh khol chinaal https://t.co/MgWnknCkYA
2.0,@SaniyaChatterje muh khol chinaal https://t.co/MgWnknCkYA
2.0,@being_zahra I hate her like anything \xf0\x9f\x98\x88 she is the bighest chinaal of all time\xf0\x9f\x98\x82
0.0,RT @jigneshshahjain: @Prince77567092 @Ebn_Iblies00 @twofreesouls @uryan69 @bward419 @dd_dark1 @badkittysub @lookint0havefun @TheLightPole @\xe2\x80\xa6
2.0,@priya_hhh ooohhh yes meri randi kuttiyaaa salliii hraaaamkhorrrr chinaal
